UNIDAD;R_con_vio;R_no_hab;R_vehic_mot
Provincia de Arica;272,0133914;182,9833674;194,0608358
Provincia de Parinacota;0;151,6070346;0
Provincia de Iquique;324,0729869;198,1424512;200,1972618
Provincia de Tamarugal;109,7655973;297,4293605;138,0922031
Provincia de Antofagasta;244,6444243;220,7711301;205,3103301
Provincia de El Loa;335,5065789;356,0898046;284,5630953
Provincia de Tocopilla;110,4394327;299,3489886;61,03231807
Provincia de Copiapó;289,8493572;471,251676;121,2635066
Provincia de Chañaral;90,80672696;348,6978315;25,42588355
Provincia de Huasco;112,4678663;276,8439786;32,13367609
Provincia de Elqui;246,1021599;300,0172382;94,07631001
Provincia de Choapa;118,1995336;214,0369933;30,88095923
Provincia de Limarí;114,5111361;246,5550777;53,14631674
Provincia de Valparaíso;334,8765143;261,7784692;172,3114601
Provincia de Isla de Pascua;0;111,4827202;0
Provincia de Los Andes;173,0795992;287,0164208;59,14277762
Provincia de Petorca;81,26728446;192,8581825;30,3236136
Provincia de Quillota;128,4349417;273,0397502;54,97754699
Provincia de San Antonio;265,7357524;411,1911116;126,9937174
Provincia de San Felipe de Aconcagua;165,1076538;291,9734614;38,24184629
Provincia de Marga Marga;186,8956657;240,7194536;117,3845426
Provincia de Santiago;740,7898379;204,4951949;182,3672391
Provincia de Cordillera;482,5613827;128,97818;128,8306077
Provincia de Chacabuco;417,1510201;244,2091393;73,80120553
Provincia de Maipo;664,5481898;255,1718188;174,7651593
Provincia de Melipilla;289,2270144;403,0921347;87,44072528
Provincia de Talagante;212,8935351;168,0738435;55,72177874
Provincia de Cachapoal;179,1483409;282,2377152;59,38062984
Provincia de Cardenal Caro;56,08991005;234,7466606;18,69663668
Provincia de Colchagua;98,20676989;253,8071066;26,78366452
Provincia de Talca;179,8326069;234,5936639;74,36686753
Provincia de Cauquenes;47,32993863;172,999086;14,68860165
Provincia de Curicó;162,2419834;286,9189567;39,5080279
Provincia de Linares;93,40250581;268,7370343;37,03327423
Provincia de Diguillín;112,9347102;228,8181073;54,25583987
Provincia de Itata;30,08210646;153,9496036;21,23442809
Provincia de Punilla;70,33914151;209,2366868;24,03995976
Provincia de Concepción;287,8289474;257,2028131;106,0571688
Provincia de Arauco;111,9973621;278,5721189;26,15166831
Provincia de Biobío;118,3103008;249,9245712;43,23790111
Provincia de Cautín;116,0911688;220,2076784;85,58730031
Provincia de Malleco;86,66359151;238,09191;24,22853096
Provincia de Valdivia;105,0516422;288,973832;23,89024885
Provincia de Ranco;29,63750268;191,1107932;6,131897107
Provincia de Llanquihue;128,7412575;245,8410182;39,03325359
Provincia de Chiloé;53,22599424;151,9158586;9,979873921
Provincia de Osorno;108,531464;231,2368132;31,18254749
Provincia de Palena;5,241090147;120,5450734;5,241090147
Provincia de Coyhaique;69,64577833;202,4586579;48,59007791
Provincia de Aysén;27,8879524;198,3143282;9,295984135
Provincia de Capitán Prat;0;122,9004506;0
Provincia de General Carrera;12,84521516;269,7495183;12,84521516
Provincia de Magallanes;42,46374658;94,83570069;82,80430582
Provincia de Antártica Chilena;0;0;0
Provincia de Tierra del Fuego;48,96560166;293,79361;12,24140042
Provincia de Última Esperanza;24,5790832;102,4128467;45,06165253
